alignment,scenario,year,n_eau,mean_b,median_b,sd_b,p10_b,p90_b,total_b
current,rcp45_wet,2020,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,rcp45_wet,2030,841,5565.330707142292,3982.01399417007,5298.489727408758,643.1585207702088,12704.55583535923,4680443.124706665
current,rcp45_wet,2040,841,5057.621119254855,3599.5538754970935,4852.733707181483,593.1975612757725,11634.817038344641,4253459.361293328
current,rcp45_wet,2050,841,4549.91153136742,3163.2870804565096,4410.88974425671,568.4012996676752,10677.832480169705,3826475.5978800026
current,rcp45_wet,2060,841,4610.009179027348,3236.3499071371334,4476.582561760695,574.6137661784843,10726.73618716305,3877017.719561999
current,rcp45_wet,2070,841,4670.106826687276,3265.6365431840622,4546.992636152779,576.687214683855,10847.227438977736,3927559.8412439977
current,rcp45_wet,2080,841,4730.204474347205,3309.489168269963,4624.534116150194,571.299050297326,10981.524637011678,3978101.962926004
current,rcp45_wet,2090,841,4790.302122007134,3339.863308683969,4698.798719513863,570.9630000342178,11108.915102519673,4028644.084608005
current,rcp45_wet,2100,841,4850.399769667063,3363.115905912266,4774.765443280335,570.4197819364025,11228.426812148404,4079186.206289992
current,rcp45_dry,2020,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,rcp45_dry,2030,841,5304.809395101071,3753.1195657661783,5072.149906880343,622.0682783675443,12195.931718820591,4461344.701280002
current,rcp45_dry,2040,841,4536.578495172414,3170.0633482787557,4387.6808591790195,537.7431319322759,10303.593267254762,3815262.51444
current,rcp45_dry,2050,841,3768.347595243757,2555.1183139410637,3696.989049411879,462.2136004117388,8727.021675265449,3169180.3276000065
current,rcp45_dry,2060,841,3608.962321700357,2496.2683308413807,3514.235019676322,460.219408828487,8302.592468791425,3035137.3125500036
current,rcp45_dry,2070,841,3449.577048156956,2377.9405912056736,3334.8472945856406,446.523707038657,7921.490141104899,2901094.297500005
current,rcp45_dry,2080,841,3290.191774613555,2315.2553053929287,3160.735829847512,435.5956883014381,7462.657143985049,2767051.2824499956
current,rcp45_dry,2090,841,3130.806501070155,2222.1584256147326,2985.8478719314367,417.65641720945,6941.2730672100115,2633008.2674000002
current,rcp45_dry,2100,841,2971.4212275267537,2147.255360372947,2813.905599557383,405.2497990794513,6603.103850691042,2498965.2523499997
current,rcp85_wet,2020,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,rcp85_wet,2030,841,6121.59842051526,4348.6018152085135,5895.822519359371,678.3245154477922,13954.676423337696,5148264.271653332
current,rcp85_wet,2040,841,6170.156546000792,4346.227971009874,6059.218272716046,684.3792701342617,14386.31008678247,5189101.655186669
current,rcp85_wet,2050,841,6218.714671486326,4303.7402585352465,6239.953912321435,669.669129404669,14734.786271960205,5229939.0387200015
current,rcp85_wet,2060,841,5856.584881272294,4060.046240113212,5846.284612482016,640.997784883476,13814.665718181246,4925387.885149992
current,rcp85_wet,2070,841,5494.455091058264,3839.7972657938685,5445.360529145185,618.9223480496665,12955.839905820343,4620836.731579999
current,rcp85_wet,2080,841,5132.325300844233,3545.8350140571392,5052.1233525291545,577.3022081422552,12110.478161036239,4316285.578009999
current,rcp85_wet,2090,841,4770.195510630202,3220.4377355819797,4663.561077338659,565.5247288918981,11159.04374669191,4011734.4244399965
current,rcp85_wet,2100,841,4408.065720416171,3009.134447657789,4277.455073522504,546.6866375044787,10191.803667187534,3707183.2708700006
current,rcp85_dry,2020,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,rcp85_dry,2030,841,5015.58319810543,3619.811650682749,4758.662693748543,599.279132720413,11438.572508569501,4218105.469606667
current,rcp85_dry,2040,841,3958.126101181134,2783.6019684306484,3759.2466307168056,504.8094954179973,8960.9590882516,3328784.0510933395
current,rcp85_dry,2050,841,2900.6690042568375,2055.313782172959,2763.1944783664803,387.33559992378326,6562.579208024949,2439462.632579999
current,rcp85_dry,2060,841,2892.7470166896555,2035.36210693996,2756.601216052674,392.32999388490765,6542.461042755778,2432800.2410359997
current,rcp85_dry,2070,841,2884.8250291224726,2015.8611164208965,2746.56040018562,399.20532786650494,6495.170889149545,2426137.8494920037
