alignment,scenario,wmd_id,year,wmd_total
current,rcp45_wet,Arrowwood,2020,377952.1344999999
current,rcp45_wet,Arrowwood,2030,344932.75333333353
current,rcp45_wet,Arrowwood,2040,311913.3721666666
current,rcp45_wet,Arrowwood,2050,278893.9910000001
current,rcp45_wet,Arrowwood,2060,280323.2206
current,rcp45_wet,Arrowwood,2070,281752.4502000001
current,rcp45_wet,Arrowwood,2080,283181.67980000004
current,rcp45_wet,Arrowwood,2090,284610.90939999995
current,rcp45_wet,Arrowwood,2100,286040.139
current,rcp45_wet,Audubon,2020,470658.92409999995
current,rcp45_wet,Audubon,2030,412676.47010000004
current,rcp45_wet,Audubon,2040,354694.01610000024
current,rcp45_wet,Audubon,2050,296711.56209999986
current,rcp45_wet,Audubon,2060,298293.60621999984
current,rcp45_wet,Audubon,2070,299875.6503400001
current,rcp45_wet,Audubon,2080,301457.6944599999
current,rcp45_wet,Audubon,2090,303039.73858
current,rcp45_wet,Audubon,2100,304621.7827
current,rcp45_wet,Crosby Lostwood,2020,485444.33930000017
current,rcp45_wet,Crosby Lostwood,2030,435464.9521999999
current,rcp45_wet,Crosby Lostwood,2040,385485.5651
current,rcp45_wet,Crosby Lostwood,2050,335506.178
current,rcp45_wet,Crosby Lostwood,2060,337383.38646
current,rcp45_wet,Crosby Lostwood,2070,339260.5949200001
current,rcp45_wet,Crosby Lostwood,2080,341137.80338000006
current,rcp45_wet,Crosby Lostwood,2090,343015.0118399999
current,rcp45_wet,Crosby Lostwood,2100,344892.22029999987
current,rcp45_wet,Detroit Lakes,2020,69934.98651999999
current,rcp45_wet,Detroit Lakes,2030,68210.67077333333
current,rcp45_wet,Detroit Lakes,2040,66486.35502666667
current,rcp45_wet,Detroit Lakes,2050,64762.03927999999
current,rcp45_wet,Detroit Lakes,2060,64802.649008000015
current,rcp45_wet,Detroit Lakes,2070,64843.258735999974
current,rcp45_wet,Detroit Lakes,2080,64883.86846400001
current,rcp45_wet,Detroit Lakes,2090,64924.47819199997
current,rcp45_wet,Detroit Lakes,2100,64965.08791999999
current,rcp45_wet,Devils Lake,2020,480253.87460000004
current,rcp45_wet,Devils Lake,2030,455654.2040666667
current,rcp45_wet,Devils Lake,2040,431054.53353333345
current,rcp45_wet,Devils Lake,2050,406454.863
