scenario,year,current,midpoint,shape_gap
rcp45_wet,2020,1,1,0
rcp45_dry,2020,1,1,0
rcp85_wet,2020,1,1,0
rcp85_dry,2020,1,1,0
stationary,2020,1,1,0
rcp45_wet,2030,0.9163994369833243,0.926581756496846,0.010182319513521776
rcp45_dry,2030,0.8735014321315482,0.8512306401459876,-0.02227079198556059
rcp85_wet,2030,1.0079956863657342,1.0874722144182338,0.0794765280524996
rcp85_dry,2030,0.8258768186027446,0.7675771507221084,-0.05829966788063623
stationary,2030,1,1,0
rcp45_wet,2040,0.8327988739666492,0.8450007058598917,0.012201831893242532
rcp45_dry,2040,0.7470028642630969,0.7277878582029996,-0.019215006060097295
rcp85_wet,2040,1.0159913727314709,1.0952747515153856,0.07928337878391467
rcp85_dry,2040,0.6517536372054916,0.5976602079880781,-0.05409342921741356
stationary,2040,1,1,0
rcp45_wet,2050,0.7491983109499765,0.810849202495675,0.06165089154569858
rcp45_dry,2050,0.6205042963946471,0.6484590837241148,0.027954787329467656
rcp85_wet,2050,1.0239870590972064,1.0591713323409564,0.03518427324374995
rcp85_dry,2050,0.47763045580823604,0.5118265900649532,0.03419613425671719
stationary,2050,1,1,0
rcp45_wet,2060,0.759094120090105,0.8241272464041963,0.0650331263140913
rcp45_dry,2060,0.5942595712157532,0.6132443167093313,0.018984745493578092
rcp85_wet,2060,0.9643579816299591,0.9791619568949428,0.014803975264983671
rcp85_dry,2060,0.4763260041362021,0.5100762969527328,0.03375029281653075
stationary,2060,1,1,0
rcp45_wet,2070,0.768989929230234,0.8374052903127158,0.06841536108248181
rcp45_dry,2070,0.5680148460368601,0.5780295496945494,0.010014703657689306
rcp85_wet,2070,0.9047289041627152,0.8991525814489326,-0.005576322713782611
rcp85_dry,2070,0.4750215524641688,0.508326003840513,0.03330445137634419
stationary,2070,1,1,0
rcp45_wet,2080,0.7788857383703646,0.850683334221238,0.07179759585087342
rcp45_dry,2080,0.5417701208579649,0.54281478267976635,0.001044661821801407
rcp85_wet,2080,0.8450998266954698,0.8191432060029213,-0.02595662069254845
rcp85_dry,2080,0.4737171007921346,0.5065757107282931,0.03285860993615852
stationary,2080,1,1,0
rcp45_wet,2090,0.788781547510494,0.8573223561754986,0.06854080866500456
rcp45_dry,2090,0.5155253956790725,0.5252073991723747,0.009682003493302171
rcp85_wet,2090,0.7854707492282238,0.7791385182799161,-0.006332230948307704
rcp85_dry,2090,0.4724126491200996,0.5057005641721829,0.03328791505208328
stationary,2090,1,1,0
rcp45_wet,2100,0.7986773566506208,0.8573223561754965,0.058644999524875674
rcp45_dry,2100,0.4892806705001791,0.5252073991723755,0.03592672867219637
rcp85_wet,2100,0.7258416717609791,0.7791385182799151,0.05329684651893596
rcp85_dry,2100,0.47110819744806554,0.5057005641721828,0.03459236672411725
stationary,2100,1,1,0
