wmd_id,n,min,p25,median,mean,p75,max,sd,median_per_ha
Iowa,32,313162232.92709106,365968726.585541,410317202.18465364,422362256.2906808,461000925.7159239,619513134.0843083,74104980.9658945,11989.633734065965
Litchfield,30,195952886.306919,266593328.7288701,314848189.72018445,312439408.07758564,360843191.96572936,400025150.45890236,57764493.080724195,9199.990779036147
Fergus Falls,17,185784780.55102667,236263258.08492365,260436555.59077638,259406301.56620422,266870148.7339831,475477151.1284384,62151432.70803172,7610.060937903093
Morris,36,153713858.78728586,205677651.55000323,250201102.79036576,243514602.21260035,274280025.3231164,352423952.20188975,55467030.953901745,7310.976888962789
Madison,46,161972632.8755001,206178355.8167205,243183947.96855605,314472576.66831845,281454189.1658132,2510903536.282023,355864399.7103171,7105.9328018009965
Waubay,40,160730015.9714804,176156804.67780682,186791960.94723833,201814394.16124353,212268075.19556713,419508219.9986493,45475957.52249783,5458.136252394985
Lake Andes,61,119070833.98036225,156076664.60485983,173403559.17258272,198809367.19854945,234218867.14559433,485678562.3996677,72551799.69473746,5066.921765875844
Tewaukon,22,119121461.91446216,145099988.59001958,155101890.61449507,170224358.0757177,196560951.13191384,249142514.08091092,38558718.45490838,4532.139647150555
Detroit Lakes,37,87775451.76459898,106493604.56772605,122379886.63806678,132864109.1481269,142231801.49797308,232508628.89771378,35838671.51354085,3575.9895256514606
Valley City,40,76993699.17553937,97658786.34967497,116164984.23065647,167494072.061103,146869499.60365418,1739048456.64597,257596752.73663598,3394.3875768151042
Huron,54,37346468.9318925,76074558.86341096,111706011.05541354,113378258.12333903,146550159.71972334,209808041.24645132,41756029.19495988,3264.094586619853
Sand Lake,70,46814296.179897785,78920351.14029646,111115197.11955263,114482269.31241168,152941724.33827558,186625529.91241395,41084171.49272554,3246.8307657070595
Kulm,31,65296002.251819745,83205440.6970048,107162980.58318686,102568372.60578185,119388220.82174976,147614517.47945338,23459938.280565754,3131.3454083872866
Roseau,35,53349582.32762919,74901467.2954647,99913853.07378553,108371639.87441063,142490259.03200686,209220858.8959961,42226130.13270026,2919.522985962623
J. Clark Salyer,46,57503508.68967016,89847874.5591746,93999379.23312841,95085676.97159274,104432915.61135858,119027116.11829343,12124400.708572783,2746.6996807206438
Audubon,39,77340449.8888643,87658317.78534007,93241827.7705279,98933015.9329694,102546373.79189938,213384967.45717275,21717652.133530363,2724.563722191665
Arrowwood,40,64889664.3833885,76291322.29086128,91025175.3677207,91240028.93229212,100295259.27525371,140285031.2964848,15829719.932019036,2659.7922471379934
Devils Lake,76,62441661.98703779,81596480.41172558,87716246.07000038,101086136.26405957,98912927.58209905,333088803.84620816,38327209.9182233,2563.104001750385
Crosby Lostwood,50,57818186.97229614,80006165.49432111,85092085.955203,92866192.85885648,91695186.61794257,274388386.627447,32882410.630146004,2486.424987396495
Long Lake,39,50269258.16032639,64983915.24050305,69624718.5615197,88563584.35113162,75378948.3577338,681410311.3675683,100390993.20968309,2034.462289042355
