"scenario","model","year","ducks","discounted"
"rcp45_wet","greedy",2020,4758054.16353212,4758054.16353212
"rcp45_wet","greedy",2030,4345440.84972374,4128168.80723755
"rcp45_wet","greedy",2040,3908079.52758711,3527041.77364738
"rcp45_wet","greedy",2050,3698397.27162584,3170913.3607602
"rcp45_wet","greedy",2060,3756877.48458871,3060000.19168179
"rcp45_wet","greedy",2070,3814302.9713348,2951434.92906848
"rcp45_wet","greedy",2080,3872646.54628171,2846751.0714286
"rcp45_wet","greedy",2090,3899719.9301158,2723319.87151997
"rcp45_wet","greedy",2100,3895755.41735454,2584523.73917805
"rcp45_wet","myopic",2020,4758054.16353212,4758054.16353212
"rcp45_wet","myopic",2030,4346345.65020011,4129028.3676901
"rcp45_wet","myopic",2040,3912873.16665173,3531368.03290319
"rcp45_wet","myopic",2050,3707932.56895288,3179088.68630596
"rcp45_wet","myopic",2060,3768470.97772548,3069443.16430102
"rcp45_wet","myopic",2070,3827450.82625349,2961608.48857357
"rcp45_wet","myopic",2080,3886659.43330669,2857051.8310449
"rcp45_wet","myopic",2090,3914452.08984488,2733607.8881108
"rcp45_wet","myopic",2100,3910739.22835366,2594464.30553344
"rcp45_wet","rolling",2020,4758054.16353212,4758054.16353212
"rcp45_wet","rolling",2030,4348135.97102434,4130729.17247312
"rcp45_wet","rolling",2040,3914464.62636786,3532804.325297
"rcp45_wet","rolling",2050,3711070.29291148,3181778.89238497
"rcp45_wet","rolling",2060,3772201.27562308,3072481.51525298
"rcp45_wet","rolling",2070,3832458.18379822,2965483.08638893
"rcp45_wet","rolling",2080,3893634.53015801,2862179.16817663
"rcp45_wet","rolling",2090,3922204.86324132,2739021.93892169
"rcp45_wet","rolling",2100,3920159.79943715,2600714.10486464
"rcp45_dry","greedy",2020,4758054.16353212,4758054.16353212
"rcp45_dry","greedy",2030,3992396.39756062,3792776.57768258
"rcp45_dry","greedy",2040,3366298.67255387,3038084.55197987
"rcp45_dry","greedy",2050,2957950.28959987,2536072.62954568
"rcp45_dry","greedy",2060,2795868.92726895,2277252.71544136
"rcp45_dry","greedy",2070,2633193.73317204,2037515.11547298
"rcp45_dry","greedy",2080,2470915.37364877,1816349.85358986
"rcp45_dry","greedy",2090,2389875.02393536,1668938.86221701
"rcp45_dry","greedy",2100,2387173.03712658,1583699.36585213
"rcp45_dry","myopic",2020,4758054.16353212,4758054.16353212
"rcp45_dry","myopic",2030,3993310.44728711,3793644.92492275
"rcp45_dry","myopic",2040,3370769.01922394,3042119.03984961
"rcp45_dry","myopic",2050,2966364.89386853,2543287.10088053
"rcp45_dry","myopic",2060,2805662.99259226,2285230.0428601
"rcp45_dry","myopic",2070,2643122.84161715,2045198.07031418
"rcp45_dry","myopic",2080,2480743.25129922,1823574.24675275
"rcp45_dry","myopic",2090,2398613.31100152,1675041.13397928
"rcp45_dry","myopic",2100,2396116.38735924,1589632.56712065
"rcp45_dry","rolling",2020,4758054.16353212,4758054.16353212
"rcp45_dry","rolling",2030,3994502.38605081,3794777.26674826
"rcp45_dry","rolling",2040,3371954.33856305,3043188.79055315
"rcp45_dry","rolling",2050,2968402.96086043,2545034.48856771
"rcp45_dry","rolling",2060,2807498.84823493,2286725.35875515
"rcp45_dry","rolling",2070,2645879.5371925,2047331.14880087
"rcp45_dry","rolling",2080,2484808.87541631,1826562.85407156
"rcp45_dry","rolling",2090,2403002.62395876,1678106.35492155
"rcp45_dry","rolling",2100,2401684.8821009,1593326.8203038
"rcp85_wet","greedy",2020,4758054.16353212,4758054.16353212
"rcp85_wet","greedy",2030,5100135.75923772,4845128.97127584
"rcp85_wet","greedy",2040,5069140.87110986,4574899.63617664
"rcp85_wet","greedy",2050,4840966.22658596,4150523.41851914
"rcp85_wet","greedy",2060,4473289.49554905,3643522.25218405
"rcp85_wet","greedy",2070,4103552.94165777,3175251.04227684
"rcp85_wet","greedy",2080,3736108.35865859,2746382.95694621
"rcp85_wet","greedy",2090,3549588.67387462,2478810.1567586
"rcp85_wet","greedy",2100,3544509.68308195,2351500.14265848
"rcp85_wet","myopic",2020,4758054.16353212,4758054.16353212
"rcp85_wet","myopic",2030,5101004.45590036,4845954.23310535
"rcp85_wet","myopic",2040,5075117.0732911,4580293.15864521
"rcp85_wet","myopic",2050,4852201.38134137,4160156.15932756
"rcp85_wet","myopic",2060,4486465.35996408,3654254.07609925
"rcp85_wet","myopic",2070,4117916.11890565,3186364.99503318
"rcp85_wet","myopic",2080,3749794.32161938,2756443.39733408
"rcp85_wet","myopic",2090,3564227.06391144,2489032.69047608
"rcp85_wet","myopic",2100,3560924.89728275,2362390.33114328
"rcp85_wet","rolling",2020,4758054.16353212,4758054.16353212
"rcp85_wet","rolling",2030,5103228.60328984,4848067.17312536
"rcp85_wet","rolling",2040,5077339.99392817,4582299.34452017
"rcp85_wet","rolling",2050,4856506.52298156,4163847.28014132
"rcp85_wet","rolling",2060,4491036.09929172,3657976.97184873
"rcp85_wet","rolling",2070,4123330.0638141,3190554.20240002
"rcp85_wet","rolling",2080,3756522.9664474,2761389.56958205
"rcp85_wet","rolling",2090,3571198.08161226,2493900.81212829
"rcp85_wet","rolling",2100,3569204.5988871,2367883.25435258
"rcp85_dry","greedy",2020,4758054.16353212,4758054.16353212
"rcp85_dry","greedy",2030,3599831.60792257,3419840.02752645
"rcp85_dry","greedy",2040,2766317.00587256,2496601.09779999
"rcp85_dry","greedy",2050,2339381.84202578,2005727.50680686
"rcp85_dry","greedy",2060,2330983.42202184,1898600.56588317
"rcp85_dry","greedy",2070,2321474.89119746,1796313.01769348
"rcp85_dry","greedy",2080,2312717.58191633,1700059.93977255
"rcp85_dry","greedy",2090,2305814.26247953,1610236.09735436
"rcp85_dry","greedy",2100,2304413.47527691,1528794.98163654
"rcp85_dry","myopic",2020,4758054.16353212,4758054.16353212
"rcp85_dry","myopic",2030,3600697.85484462,3420662.96210239
"rcp85_dry","myopic",2040,2769167.53750377,2499173.70259715
"rcp85_dry","myopic",2050,2345019.50150526,2010561.09510307
"rcp85_dry","myopic",2060,2337260.98963019,1903713.68393497
"rcp85_dry","myopic",2070,2328454.22071591,1801713.48983139
"rcp85_dry","myopic",2080,2319277.89907552,1704882.3757162
"rcp85_dry","myopic",2090,2314057.14955765,1615992.4128285
"rcp85_dry","myopic",2100,2311695.70526772,1533626.16179779
"rcp85_dry","rolling",2020,4758054.16353212,4758054.16353212
"rcp85_dry","rolling",2030,3601950.30434747,3421852.7891301
"rcp85_dry","rolling",2040,2770522.53593742,2500396.58868353
"rcp85_dry","rolling",2050,2346887.50759515,2012162.6768244
"rcp85_dry","rolling",2060,2339672.69146961,1905678.03015632
"rcp85_dry","rolling",2070,2331365.93643289,1803966.5199486
"rcp85_dry","rolling",2080,2323613.58258902,1708069.50150729
"rcp85_dry","rolling",2090,2318538.31057903,1619121.77469953
"rcp85_dry","rolling",2100,2317272.07629002,1537325.64026643
"stationary","greedy",2020,4758054.16353212,4758054.16353212
"stationary","greedy",2030,4758052.56209765,4520149.93399277
