run,scenario,model,J,J_baseline,value_added,n_acquired,total_spend,gap_J_pct,gap_value_added_pct,annual_rate,risk_kind,p_decade,value_added_recomputed
data_derived,rcp45_wet,greedy,29750207.91,29632114.17,118093.7361,62,13113094588,0.311757166,44.06644809,NA,data-derived (heterogeneous),NA,118093.7361
data_derived,rcp45_wet,myopic,29813714.93,29632114.17,181600.756,60,13398953324,0.098955184,13.98717957,NA,data-derived (heterogeneous),NA,181600.756
data_derived,rcp45_wet,rolling,29843246.37,29632114.17,211132.1953,65,13410031465,0,0,NA,data-derived (heterogeneous),NA,211132.1953
data_derived,rcp45_dry,greedy,23508743.84,23428324.61,80419.22595,63,13111621970,0.27303745,44.4552001,NA,data-derived (heterogeneous),NA,80419.22595
data_derived,rcp45_dry,myopic,23555781.29,23428324.61,127456.6808,63,13369222560,0.073498822,11.96687422,NA,data-derived (heterogeneous),NA,127456.6808
data_derived,rcp45_dry,rolling,23573107.25,23428324.61,144782.6369,67,13414758607,0,0,NA,data-derived (heterogeneous),NA,144782.6369
data_derived,rcp85_wet,greedy,32724072.74,32605206.21,118866.5336,60,13171972902,0.304350823,45.66512774,NA,data-derived (heterogeneous),NA,118866.5336
data_derived,rcp85_wet,myopic,32792943.2,32605206.21,187736.998,60,13409224707,0.094533246,14.18387081,NA,data-derived (heterogeneous),NA,187736.998
data_derived,rcp85_wet,rolling,32823972.77,32605206.21,218766.5649,65,13409372300,0,0,NA,data-derived (heterogeneous),NA,218766.5649
data_derived,rcp85_dry,greedy,21214227.4,21144506.24,69721.15507,63,13190561821,0.246396784,42.90834268,NA,data-derived (heterogeneous),NA,69721.15507
data_derived,rcp85_dry,myopic,21248380.05,21144506.24,103873.8045,62,13334925563,0.085804094,14.94220592,NA,data-derived (heterogeneous),NA,103873.8045
data_derived,rcp85_dry,rolling,21266627.68,21144506.24,122121.4418,66,13404193693,0,0,NA,data-derived (heterogeneous),NA,122121.4418
data_derived,stationary,greedy,35185828.57,35185820.2,8.371124782,65,13194633745,2.86E-07,1.185837478,NA,data-derived (heterogeneous),NA,8.371124797
data_derived,stationary,myopic,35185828.55,35185820.2,8.345549576,64,13426813294,3.58E-07,1.4877315,NA,data-derived (heterogeneous),NA,8.345549598
data_derived,stationary,rolling,35185828.67,35185820.2,8.471584,65,13425270295,0,0,NA,data-derived (heterogeneous),NA,8.471584
wetland_low,rcp45_wet,greedy,29905509.44,29732146.19,173363.2457,62,13113094588,0.012585162,2.125098179,9.00E-04,uniform,0.008963637,173363.2457
wetland_low,rcp45_wet,myopic,29906831.07,29732146.19,174684.8744,63,13417593746,0.00816637,1.378952225,9.00E-04,uniform,0.008963637,174684.8744
wetland_low,rcp45_wet,rolling,29909273.57,29732146.19,177127.3763,61,13418915523,0,0,9.00E-04,uniform,0.008963637,177127.3763
wetland_low,rcp45_dry,greedy,23639472.26,23522403.49,117068.7701,63,13111621970,0.004886414,0.977110829,9.00E-04,uniform,0.008963637,117068.7701
wetland_low,rcp45_dry,myopic,23639171.91,23522403.49,116768.4169,61,13427259505,0.00615691,1.231165296,9.00E-04,uniform,0.008963637,116768.4169
wetland_low,rcp45_dry,rolling,23640627.44,23522403.49,118223.9491,63,13410970720,0,0,9.00E-04,uniform,0.008963637,118223.9491
wetland_low,rcp85_wet,greedy,32890289.74,32713258.93,177030.8097,60,13171972902,0.009295862,1.697898406,9.00E-04,uniform,0.008963637,177030.8097
wetland_low,rcp85_wet,myopic,32890327,32713258.93,177068.0694,61,13413387061,0.009182588,1.677208759,9.00E-04,uniform,0.008963637,177068.0694
wetland_low,rcp85_wet,rolling,32893347.46,32713258.93,180088.53,61,13424353733,0,0,9.00E-04,uniform,0.008963637,180088.53
wetland_low,rcp85_dry,greedy,21293261,21187076.82,106184.182,63,13190561821,0.007568218,1.495087946,9.00E-04,uniform,0.008963637,106184.182
wetland_low,rcp85_dry,myopic,21293259.44,21187076.82,106182.6245,63,13422266291,0.007575532,1.496532851,9.00E-04,uniform,0.008963637,106182.6245
