scenario,model,data_derived,wetland_low,grass_low,wetland_high,grass_high
rcp45_wet,greedy,118093.7,173363.2,173363.2,173363.2,173363.2
rcp45_wet,myopic,181600.8,174684.9,174684.9,174684.9,174684.9
rcp45_wet,rolling,211132.2,177127.4,177127.4,177127.4,177127.4
rcp45_dry,greedy,80419.2,117068.8,117068.8,117068.8,117068.8
rcp45_dry,myopic,127456.7,116768.4,116768.4,116768.4,116768.4
rcp45_dry,rolling,144782.6,118223.9,118223.9,118223.9,118223.9
rcp85_wet,greedy,118866.5,177030.8,177030.8,177030.8,177030.8
rcp85_wet,myopic,187737,177068.1,177068.1,177068.1,177068.1
rcp85_wet,rolling,218766.6,180088.5,180088.5,180088.5,180088.5
rcp85_dry,greedy,69721.2,106184.2,106184.2,106184.2,106184.2
rcp85_dry,myopic,103873.8,106182.6,106182.6,106182.6,106182.6
rcp85_dry,rolling,122121.4,107795.8,107795.8,107795.8,107795.8
stationary,greedy,8.4,203151.5,203151.5,203151.5,203151.5
stationary,myopic,8.3,202551.8,202551.8,202551.8,202551.8
stationary,rolling,8.5,205583,205583,205583,205583
