rcp,year,n_eau,habitat_ha,delta_ha,pct_change
45,2020,879,7673335.969686006,NA,NA
45,2030,879,7557871.358420452,-115464.6112655541,-1.504751150239013
45,2040,879,7452720.8897592975,-105150.46866115462,-1.3912709501730711
45,2050,879,7344023.3792522745,-108697.51050702296,-1.4584943152289929
45,2060,879,7336865.982085586,-7157.3971666889265,-0.09745880149169202
45,2070,879,7334837.977908777,-2028.0041768085212,-0.027641286916788393
45,2080,879,7337353.145972276,2515.1680634990335,0.03429071059339376
45,2090,879,7325102.446321046,-12250.699651230127,-0.16696347316954419
45,2100,879,7311292.641759611,-13809.804561435245,-0.1885271183936966
85,2020,879,7673335.969686006,NA,NA
85,2030,879,7562876.400811088,-110459.56887491792,-1.4395247296781395
85,2040,879,7466655.2296247305,-96221.17118635774,-1.2722827412072792
85,2050,879,7384634.239200246,-82020.99042448495,-1.09849709009006
85,2060,879,7407484.394431193,22850.15523094777,0.3094283953787593
85,2070,879,7414188.195755733,6703.801324539818,0.09050037728840318
85,2080,879,7419980.248951258,5792.053195524961,0.07812120548599823
85,2090,879,7407658.198019687,-12322.050931571051,-0.16606581848129115
85,2100,879,7393821.347670338,-13836.85034934897,-0.18679115557799386
