run started 2026-08-07 19:08:26 | 16 pairs | 4 worker(s) | backend psock
[19:18:51] done rcp85 2050        7082.7 s
[19:18:52] done rcp85 2030        7083.5 s
[19:18:56] done rcp85 2070        7062.5 s
[19:18:57] done rcp85 2090        7053.2 s
[19:22:31] done rcp45 2080         830.5 s
[19:22:31] done rcp45 2060         831.1 s
[19:22:33] done rcp45 2020         832.7 s
[19:22:34] done rcp45 2040         834.2 s
[19:32:03] done rcp45 2090         571.8 s
[19:32:06] done rcp45 2070         574.8 s
[19:32:06] done rcp45 2030         573.5 s
[19:32:10] done rcp45 2050         575.9 s
[19:41:34] done rcp85 2020         571.2 s
[19:41:39] done rcp85 2040         572.8 s
[19:41:39] done rcp85 2060         572.8 s
[19:41:42] done rcp85 2080         571.8 s
[19:50:43] done rcp85 2070         543.4 s
[19:50:43] done rcp85 2050         544.3 s
[19:50:45] done rcp85 2090         542.7 s
[19:50:52] done rcp85 2030         558.6 s
