X,WMD,total_sum,scenario
1,Arrowwood,377952.1345,Obs
2,Audubon,470658.9241,Obs
3,Benton Lake,236063.364,Obs
4,Bowdoin,281316.5178,Obs
5,Crosby Lostwood,485444.3393,Obs
6,Detroit Lakes,69934.98652,Obs
7,Devils Lake,480253.8746,Obs
8,Fergus Falls,28446.32789,Obs
9,Huron,444778.8755,Obs
10,Iowa,24762.08751,Obs
11,J. Clark Salyer,430328.1819,Obs
12,Kulm,310941.1254,Obs
13,Lake Andes,297006.4,Obs
14,Litchfield,35323.88879,Obs
15,Long Lake,227646.6724,Obs
16,Madison,164211.0124,Obs
17,Morris,47375.36669,Obs
18,Northeast Montana,145150.4742,Obs
19,Roseau,26697.59802,Obs
20,Sand Lake,625525.6248,Obs
21,Tewaukon,163271.7762,Obs
22,Valley City,155286.8973,Obs
23,Waubay,241580.7943,Obs
24,Windom,53330.22732,Obs
1,Arrowwood,278893.991,GFDLRCP4.5Wet3059
2,Audubon,296711.5621,GFDLRCP4.5Wet3059
3,Benton Lake,214547.1731,GFDLRCP4.5Wet3059
4,Bowdoin,250003.5921,GFDLRCP4.5Wet3059
5,Crosby Lostwood,335506.178,GFDLRCP4.5Wet3059
6,Detroit Lakes,64762.03928,GFDLRCP4.5Wet3059
7,Devils Lake,406454.863,GFDLRCP4.5Wet3059
8,Fergus Falls,23933.50576,GFDLRCP4.5Wet3059
9,Huron,336916.2884,GFDLRCP4.5Wet3059
10,Iowa,21068.34479,GFDLRCP4.5Wet3059
11,J. Clark Salyer,322046.3586,GFDLRCP4.5Wet3059
12,Kulm,274009.3038,GFDLRCP4.5Wet3059
13,Lake Andes,193855.2223,GFDLRCP4.5Wet3059
14,Litchfield,30620.16956,GFDLRCP4.5Wet3059
15,Long Lake,121822.5349,GFDLRCP4.5Wet3059
16,Madison,131461.9514,GFDLRCP4.5Wet3059
17,Morris,41812.24742,GFDLRCP4.5Wet3059
18,Northeast Montana,111513.3117,GFDLRCP4.5Wet3059
19,Roseau,25814.32867,GFDLRCP4.5Wet3059
20,Sand Lake,487761.6165,GFDLRCP4.5Wet3059
21,Tewaukon,109862.8023,GFDLRCP4.5Wet3059
22,Valley City,116419.9327,GFDLRCP4.5Wet3059
23,Waubay,206742.3574,GFDLRCP4.5Wet3059
24,Windom,49444.50982,GFDLRCP4.5Wet3059
1,Arrowwood,286040.139,GFDLRCP4.5Wet7099
2,Audubon,304621.7827,GFDLRCP4.5Wet7099
3,Benton Lake,212196.5086,GFDLRCP4.5Wet7099
4,Bowdoin,246367.7745,GFDLRCP4.5Wet7099
5,Crosby Lostwood,344892.2203,GFDLRCP4.5Wet7099
6,Detroit Lakes,64965.08792,GFDLRCP4.5Wet7099
7,Devils Lake,380859.1243,GFDLRCP4.5Wet7099
8,Fergus Falls,25572.48158,GFDLRCP4.5Wet7099
9,Huron,396856.5681,GFDLRCP4.5Wet7099
10,Iowa,21878.44021,GFDLRCP4.5Wet7099
11,J. Clark Salyer,315602.7096,GFDLRCP4.5Wet7099
12,Kulm,294305.5224,GFDLRCP4.5Wet7099
13,Lake Andes,213149.3303,GFDLRCP4.5Wet7099
14,Litchfield,32975.80555,GFDLRCP4.5Wet7099
15,Long Lake,129551.0587,GFDLRCP4.5Wet7099
16,Madison,140585.8047,GFDLRCP4.5Wet7099
17,Morris,46889.68922,GFDLRCP4.5Wet7099
18,Northeast Montana,103389.1553,GFDLRCP4.5Wet7099
19,Roseau,25562.35241,GFDLRCP4.5Wet7099
20,Sand Lake,585595.3436,GFDLRCP4.5Wet7099
21,Tewaukon,130339.7272,GFDLRCP4.5Wet7099
22,Valley City,123658.4251,GFDLRCP4.5Wet7099
23,Waubay,215284.5934,GFDLRCP4.5Wet7099
24,Windom,52662.83011,GFDLRCP4.5Wet7099
1,Arrowwood,371954.4349,GFDLRCP8.5Wet3059
2,Audubon,418119.6622,GFDLRCP8.5Wet3059
3,Benton Lake,216259.0486,GFDLRCP8.5Wet3059
4,Bowdoin,258493.0299,GFDLRCP8.5Wet3059
5,Crosby Lostwood,485388.1465,GFDLRCP8.5Wet3059
6,Detroit Lakes,71596.40898,GFDLRCP8.5Wet3059
7,Devils Lake,480127.9469,GFDLRCP8.5Wet3059
8,Fergus Falls,29014.37668,GFDLRCP8.5Wet3059
9,Huron,490166.1482,GFDLRCP8.5Wet3059
10,Iowa,24376.32172,GFDLRCP8.5Wet3059
11,J. Clark Salyer,426623.1509,GFDLRCP8.5Wet3059
12,Kulm,382107.8161,GFDLRCP8.5Wet3059
13,Lake Andes,254628.3421,GFDLRCP8.5Wet3059
14,Litchfield,36209.0487,GFDLRCP8.5Wet3059
15,Long Lake,185612.8894,GFDLRCP8.5Wet3059
16,Madison,167190.9343,GFDLRCP8.5Wet3059
17,Morris,51813.80022,GFDLRCP8.5Wet3059
18,Northeast Montana,137329.4082,GFDLRCP8.5Wet3059
