eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
1,Arrowwood,2020,baseline,baseline,0.120572635312847,377952.1345,2633.665179586726,NA,NA,NA,17.303142871764564,0.006968250577737446
1,Arrowwood,2030,45,dry,0.117731506127963,325719.4731333333,2257.7006244018307,NA,NA,1,16.98517674696304,0.006931426612856028
1,Arrowwood,2030,45,wet,0.117731506127963,344932.7533333333,2390.8760661003703,NA,NA,1,16.98517674696304,0.006931426612856028
1,Arrowwood,2030,85,dry,0.117731506127963,302184.3961333333,2094.513595549766,NA,NA,1,16.98562576091,0.006931243381030171
1,Arrowwood,2030,85,wet,0.117731506127963,375952.90129999997,2605.821058714714,NA,NA,1,16.98562576091,0.006931243381030171
1,Arrowwood,2030,stationary,stationary,0.120572635312847,377952.1345,2633.665179586726,NA,NA,NA,17.303142871764564,0.006968250577737446
1,Arrowwood,2040,45,dry,0.117577434524862,273486.81176666665,1935.0553473148098,NA,NA,1,16.617549337040817,0.007075497845087168
1,Arrowwood,2040,45,wet,0.117577434524862,311913.37216666667,2206.9423926191216,NA,NA,1,16.617549337040817,0.007075497845087168
1,Arrowwood,2040,85,dry,0.11759581521275,226416.65776666667,1600.9700171338425,NA,NA,1,16.630949463678473,0.007070902083466489
1,Arrowwood,2040,85,wet,0.11759581521275,373953.6681,2644.189770888226,NA,NA,1,16.630949463678473,0.007070902083466489
1,Arrowwood,2040,stationary,stationary,0.120572635312847,377952.1345,2633.665179586726,NA,NA,NA,17.303142871764564,0.006968250577737446
1,Arrowwood,2050,45,dry,0.111569575398232,221254.1504,1525.3844739890465,NA,NA,1,16.182957173197124,0.006894263774177076
1,Arrowwood,2050,45,wet,0.111569575398232,278893.991,1922.7687389869673,NA,NA,1,16.182957173197124,0.006894263774177076
1,Arrowwood,2050,85,dry,0.111601085148896,150648.9194,1037.3550895111719,NA,NA,1,16.207162862112227,0.006885911254078148
1,Arrowwood,2050,85,wet,0.111601085148896,371954.4349,2561.2452292821877,NA,NA,1,16.207162862112227,0.006885911254078148
