"scenario","model","J","J_baseline","value_added","n_acquired","total_spend","gap_J_pct","gap_value_added_pct"
"rcp45_wet","greedy",29750207.9080543,29632114.171984,118093.736070264,62,13113094587.8771,0.311757166405149,44.0664480858292
"rcp45_wet","myopic",29813714.9279953,29632114.171984,181600.756011233,60,13398953324.3911,0.098955183807936,13.9871795743396
"rcp45_wet","rolling",29843246.3672923,29632114.171984,211132.195308242,65,13410031465.3186,0,0
"rcp45_dry","greedy",23508743.8353137,23428324.609365,80419.2259486057,63,13111621969.6599,0.273037450125715,44.4552001009891
"rcp45_dry","myopic",23555781.2902121,23428324.609365,127456.680847012,63,13369222559.844,0.0734988216070662,11.9668742153306
"rcp45_dry","rolling",23573107.2462542,23428324.609365,144782.636889178,67,13414758607.2948,0,0
"rcp85_wet","greedy",32724072.740328,32605206.2067395,118866.533588458,60,13171972901.6468,0.304350823094228,45.6651277366785
"rcp85_wet","myopic",32792943.2046961,32605206.2067395,187736.997956619,60,13409224706.7008,0.0945332460223727,14.1838708076633
"rcp85_wet","rolling",32823972.7716306,32605206.2067395,218766.564891141,65,13409372300.2503,0,0
"rcp85_dry","greedy",21214227.3980056,21144506.2429382,69721.1550673731,63,13190561821.2522,0.246396784292857,42.9083426841828
"rcp85_dry","myopic",21248380.0474436,21144506.2429382,103873.804505426,62,13334925562.6252,0.0858040944488226,14.9422059175096
"rcp85_dry","rolling",21266627.6847483,21144506.2429382,122121.441810127,66,13404193693.0727,0,0
"stationary","greedy",35185828.57436,35185820.2032352,8.37112478166819,65,13194633744.9695,2.85510450680678e-07,1.18583747772369
"stationary","myopic",35185828.5487848,35185820.2032352,8.34554957598448,64,13426813293.5057,3.58196548029896e-07,1.48773149995889
"stationary","rolling",35185828.6748192,35185820.2032352,8.47158399969339,65,13425270294.7975,0,0
