"scenario","model","year","ducks","discounted"
"rcp45_wet","greedy",2020,5107426.88812001,5107426.88812001
"rcp45_wet","greedy",2030,4612999.94091219,4382349.94386658
"rcp45_wet","greedy",2040,4134191.55259652,3731107.87621836
"rcp45_wet","greedy",2050,3667880.07752493,3144748.68146794
"rcp45_wet","greedy",2060,3714676.75786087,3025627.43600741
"rcp45_wet","greedy",2070,3759572.71245928,2909085.69804615
"rcp45_wet","greedy",2080,3805264.35902487,2797218.97200352
"rcp45_wet","greedy",2090,3850516.50917212,2688959.2875796
"rcp45_wet","greedy",2100,3895614.63289399,2584430.33989051
"rcp45_wet","myopic",2020,5107426.88812001,5107426.88812001
"rcp45_wet","myopic",2030,4615069.08137528,4384315.62730652
"rcp45_wet","myopic",2040,4139263.38889585,3735685.20847851
"rcp45_wet","myopic",2050,3677521.03952158,3153014.60125981
"rcp45_wet","myopic",2060,3726502.81923204,3035259.83690711
"rcp45_wet","myopic",2070,3772661.07435045,2919213.22298064
"rcp45_wet","myopic",2080,3819853.6504198,2807943.44179789
"rcp45_wet","myopic",2090,3865830.73208862,2699653.78060289
"rcp45_wet","myopic",2100,3910407.81727951,2594244.4406557
"rcp45_wet","rolling",2020,5107426.88812001,5107426.88812001
"rcp45_wet","rolling",2030,4616098.7648087,4385293.82656827
"rcp45_wet","rolling",2040,4141189.6502903,3737423.659387
"rcp45_wet","rolling",2050,3680712.37355791,3155750.77127921
"rcp45_wet","rolling",2060,3729642.03817029,3037816.75035243
"rcp45_wet","rolling",2070,3777787.12664263,2923179.66452896
"rcp45_wet","rolling",2080,3826766.91237623,2813025.32459984
"rcp45_wet","rolling",2090,3873634.72587646,2705103.60052342
"rcp45_wet","rolling",2100,3920118.65167629,2600686.80659938
"rcp45_dry","greedy",2020,5107426.88812001,5107426.88812001
"rcp45_dry","greedy",2030,4397611.96391534,4177731.36571957
"rcp45_dry","greedy",2040,3709059.37178018,3347426.08303162
"rcp45_dry","greedy",2050,3038355.97942379,2605010.45785847
"rcp45_dry","greedy",2060,2908160.91741915,2368715.24324364
"rcp45_dry","greedy",2070,2776891.00395776,2148705.32437774
"rcp45_dry","greedy",2080,2647185.53279085,1945924.61813437
"rcp45_dry","greedy",2090,2517155.58325991,1757823.62386101
"rcp45_dry","greedy",2100,2387067.56304156,1583629.39218916
"rcp45_dry","myopic",2020,5107426.88812001,5107426.88812001
"rcp45_dry","myopic",2030,4399056.81806373,4179103.97716055
"rcp45_dry","myopic",2040,3712986.76865285,3350970.5587092
"rcp45_dry","myopic",2050,3046313.3222511,2611832.88466503
"rcp45_dry","myopic",2060,2917904.91400658,2376651.78936407
"rcp45_dry","myopic",2070,2787614.54339532,2157002.99477706
"rcp45_dry","myopic",2080,2657455.80555446,1953474.21235741
"rcp45_dry","myopic",2090,2527428.75064771,1764997.75979693
"rcp45_dry","myopic",2100,2396012.24904714,1589563.47963673
"rcp45_dry","rolling",2020,5107426.88812001,5107426.88812001
"rcp45_dry","rolling",2030,4399973.53226425,4179974.85565104
"rcp45_dry","rolling",2040,3715009.92964637,3352796.46150585
"rcp45_dry","rolling",2050,3049076.90389653,2614202.31047828
"rcp45_dry","rolling",2060,2920468.89975406,2378740.17178031
"rcp45_dry","rolling",2070,2791103.71865019,2159702.85207687
"rcp45_dry","rolling",2080,2662358.65493892,1957078.25718089
"rcp45_dry","rolling",2090,2532066.76167474,1768236.6558768
