"scenario","model","J","J_baseline","value_added","n_acquired","total_spend","gap_J_pct","gap_value_added_pct"
"rcp45_wet","greedy",29905509.4373265,29732146.1916746,173363.245651931,62,13113094587.8771,0.0125851623876853,2.12509817858039
"rcp45_wet","myopic",29906831.0660777,29732146.1916746,174684.874403112,63,13417593745.8181,0.00816636984102769,1.37895222486467
"rcp45_wet","rolling",29909273.567974,29732146.1916746,177127.376299437,61,13418915523.1427,0,0
"rcp45_dry","greedy",23639472.2639522,23522403.493859,117068.770093162,63,13111621969.6599,0.00488641434024666,0.977110829290667
"rcp45_dry","myopic",23639171.9107283,23522403.493859,116768.416869279,61,13427259505.2983,0.00615691033113051,1.23116529639513
"rcp45_dry","rolling",23640627.4429617,23522403.493859,118223.949102659,63,13410970719.5526,0,0
"rcp85_wet","greedy",32890289.7412432,32713258.9315396,177030.809703633,60,13171972901.6468,0.00929586228436339,1.69789840641474
"rcp85_wet","myopic",32890327.0009258,32713258.9315396,177068.069386162,61,13413387060.6272,0.0091825880650938,1.67720875864433
"rcp85_wet","rolling",32893347.461524,32713258.9315396,180088.529984374,61,13424353732.9741,0,0
"rcp85_dry","greedy",21293260.9980657,21187076.8160486,106184.182017058,63,13190561821.2522,0.00756821796392156,1.49508794578453
"rcp85_dry","myopic",21293259.4405185,21187076.8160486,106182.624469854,63,13422266291.1264,0.0075755321527899,1.49653285073605
"rcp85_dry","rolling",21294872.6404423,21187076.8160486,107795.824393626,64,13416008718.6369,0,0
"stationary","greedy",34257687.8046567,34054536.3360804,203151.468576364,65,13194633744.9695,0.00709731440400351,1.18275741917013
"stationary","myopic",34257088.110407,34054536.3360804,202551.7743266,64,13426754537.9855,0.0088477293502691,1.47446159718345
"stationary","rolling",34260119.3530424,34054536.3360804,205583.016962036,65,13425211539.2774,0,0
