"scenario","model","year","ducks","discounted"
"rcp45_wet","greedy",2020,4758054.16353212,4758054.16353212
"rcp45_wet","greedy",2030,4371936.20521803,4153339.39495713
"rcp45_wet","greedy",2040,3955870.14274904,3570172.80383101
"rcp45_wet","greedy",2050,3768222.36461214,3230779.64985933
"rcp45_wet","greedy",2060,3803328.39455965,3097834.7481713
"rcp45_wet","greedy",2070,3839326.32495119,2970797.52308917
"rcp45_wet","greedy",2080,3876275.232879,2849418.48951988
"rcp45_wet","greedy",2090,3884030.58979384,2712363.42002204
"rcp45_wet","greedy",2100,3862933.85533059,2562749.24434454
"rcp45_wet","myopic",2020,4758054.16353212,4758054.16353212
"rcp45_wet","myopic",2030,4371937.45111628,4153340.57856046
"rcp45_wet","myopic",2040,3955922.41616976,3570219.9805932
"rcp45_wet","myopic",2050,3768397.20135878,3230929.55051499
"rcp45_wet","myopic",2060,3803727.23437855,3098159.60569654
"rcp45_wet","myopic",2070,3840089.63037682,2971388.15427701
"rcp45_wet","myopic",2080,3877301.5769023,2850172.9466884
"rcp45_wet","myopic",2090,3885260.01148358,2713221.97104061
"rcp45_wet","myopic",2100,3860815.84825106,2561344.11517436
"rcp45_wet","rolling",2020,4758054.16353212,4758054.16353212
"rcp45_wet","rolling",2030,4371936.55603675,4153339.72823491
"rcp45_wet","rolling",2040,3955963.03157389,3570256.63599543
"rcp45_wet","rolling",2050,3768397.20135878,3230929.55051499
"rcp45_wet","rolling",2060,3803752.94529357,3098180.54739751
"rcp45_wet","rolling",2070,3840088.60823106,2971387.36336011
"rcp45_wet","rolling",2080,3877295.62445291,2850168.57109113
"rcp45_wet","rolling",2090,3885260.01148358,2713221.97104061
"rcp45_wet","rolling",2100,3864419.77951408,2563735.03680722
"rcp45_dry","greedy",2020,4758054.16353212,4758054.16353212
"rcp45_dry","greedy",2030,4016417.53984371,3815596.66285153
"rcp45_dry","greedy",2040,3407294.28914471,3075083.0959531
"rcp45_dry","greedy",2050,3013898.3674774,2584041.11281593
"rcp45_dry","greedy",2060,2830594.94017552,2305537.26999134
"rcp45_dry","greedy",2070,2650654.08896599,2051025.6059483
"rcp45_dry","greedy",2080,2473790.51925119,1818463.34980656
"rcp45_dry","greedy",2090,2379568.73208757,1661741.59423526
"rcp45_dry","greedy",2100,2366417.03326435,1569929.40881802
"rcp45_dry","myopic",2020,4758054.16353212,4758054.16353212
"rcp45_dry","myopic",2030,4016430.10247545,3815608.59735168
"rcp45_dry","myopic",2040,3407337.24857454,3075121.86683852
"rcp45_dry","myopic",2050,3013977.62411868,2584109.06547875
"rcp45_dry","myopic",2060,2830741.81268086,2305656.89856489
"rcp45_dry","myopic",2070,2650858.68573627,2051183.91902902
"rcp45_dry","myopic",2080,2473988.09630008,1818608.58709297
"rcp45_dry","myopic",2090,2379892.30198813,1661967.55516472
"rcp45_dry","myopic",2100,2364806.96656753,1568861.25767561
"rcp45_dry","rolling",2020,4758054.16353212,4758054.16353212
"rcp45_dry","rolling",2030,4016432.1443329,3815610.53711625
"rcp45_dry","rolling",2040,3407338.15505194,3075122.68493438
"rcp45_dry","rolling",2050,3013997.67236767,2584126.25434623
"rcp45_dry","rolling",2060,2830754.60296598,2305667.31633206
"rcp45_dry","rolling",2070,2650855.14910127,2051181.18244828
"rcp45_dry","rolling",2080,2474016.17262952,1818629.22577506
"rcp45_dry","rolling",2090,2379856.74633993,1661942.7253295
"rcp45_dry","rolling",2100,2366965.62102651,1570293.35314779
"rcp85_wet","greedy",2020,4758054.16353212,4758054.16353212
"rcp85_wet","greedy",2030,5131167.10421671,4874608.74900587
"rcp85_wet","greedy",2040,5127877.82008882,4627909.73263015
"rcp85_wet","greedy",2050,4922707.66813154,4220606.48696428
"rcp85_wet","greedy",2060,4519209.51509402,3680924.39510355
"rcp85_wet","greedy",2070,4122779.32023739,3190128.04751891
"rcp85_wet","greedy",2080,3732753.03159995,2743916.483235
"rcp85_wet","greedy",2090,3529870.44279171,2465040.18058041
"rcp85_wet","greedy",2100,3510747.32224839,2329101.50267295
"rcp85_wet","myopic",2020,4758054.16353212,4758054.16353212
"rcp85_wet","myopic",2030,5131166.96099683,4874608.61294699
"rcp85_wet","myopic",2040,5127928.48661543,4627955.45917042
"rcp85_wet","myopic",2050,4922911.27285434,4220781.05256349
"rcp85_wet","myopic",2060,4519739.51084752,3681356.07995726
"rcp85_wet","myopic",2070,4123480.54809707,3190670.64426957
"rcp85_wet","myopic",2080,3733499.94941607,2744465.53646459
"rcp85_wet","myopic",2090,3530683.66857425,2465608.0864745
"rcp85_wet","myopic",2100,3507319.42491683,2326827.36554684
"rcp85_wet","rolling",2020,4758054.16353212,4758054.16353212
"rcp85_wet","rolling",2030,5131174.48914532,4874615.76468804
"rcp85_wet","rolling",2040,5127983.23411793,4628004.86879142
"rcp85_wet","rolling",2050,4922907.11376792,4220777.48666677
"rcp85_wet","rolling",2060,4519750.41467454,3681364.96119251
"rcp85_wet","rolling",2070,4123497.7417854,3190683.94841785
"rcp85_wet","rolling",2080,3733517.28533434,2744478.27995753
"rcp85_wet","rolling",2090,3530695.50438466,2465616.35186234
"rcp85_wet","rolling",2100,3511727.29469389,2329751.6364154
"rcp85_dry","greedy",2020,4758054.16353212,4758054.16353212
"rcp85_dry","greedy",2030,3621659.31253901,3440576.34691206
"rcp85_dry","greedy",2040,2797942.16104147,2525142.80033992
"rcp85_dry","greedy",2050,2378662.53867991,2039405.79410068
"rcp85_dry","greedy",2060,2354150.43597617,1917470.24354282
"rcp85_dry","greedy",2070,2330856.59336826,1803572.39999455
"rcp85_dry","greedy",2080,2308600.06120241,1697033.18368627
"rcp85_dry","greedy",2090,2291349.925143,1600135.11112898
"rcp85_dry","greedy",2100,2278903.21660829,1511870.95482831
"rcp85_dry","myopic",2020,4758054.16353212,4758054.16353212
"rcp85_dry","myopic",2030,3621681.92800979,3440597.8316093
"rcp85_dry","myopic",2040,2797984.6767335,2525181.17075199
"rcp85_dry","myopic",2050,2378750.57712613,2039481.27606351
"rcp85_dry","myopic",2060,2354369.16068514,1917648.3961853
"rcp85_dry","myopic",2070,2331160.62251792,1803807.651955
"rcp85_dry","myopic",2080,2309032.27901794,1697350.90349745
"rcp85_dry","myopic",2090,2291895.21556851,1600515.90777032
"rcp85_dry","myopic",2100,2277020.82707689,1510622.13915353
"rcp85_dry","rolling",2020,4758054.16353212,4758054.16353212
"rcp85_dry","rolling",2030,3621682.89332794,3440598.74866154
"rcp85_dry","rolling",2040,2797992.10806621,2525187.87752976
"rcp85_dry","rolling",2050,2378742.13472204,2039474.0377573
"rcp85_dry","rolling",2060,2354353.89894135,1917635.9653996
"rcp85_dry","rolling",2070,2331139.55083566,1803791.34708894
"rcp85_dry","rolling",2080,2309020.00176175,1697341.87858599
"rcp85_dry","rolling",2090,2291877.02284528,1600503.20311316
"rcp85_dry","rolling",2100,2279527.95459647,1512285.41877386
"stationary","greedy",2020,4758054.16353212,4758054.16353212
"stationary","greedy",2030,4718313.58653785,4482397.90721096
"stationary","greedy",2040,4681371.37018324,4224937.66159037
"stationary","greedy",2050,4646879.66942293,3984118.45657149
"stationary","greedy",2060,4614614.30638406,3758632.19388924
"stationary","greedy",2070,4584573.0483999,3547455.23142811
"stationary","greedy",2080,4556614.72526364,3349530.53324376
"stationary","greedy",2090,4530090.55777878,3163531.19117906
"stationary","greedy",2100,4505484.49375274,2989030.46601162
"stationary","myopic",2020,4758054.16353212,4758054.16353212
"stationary","myopic",2030,4718329.85613335,4482413.36332669
"stationary","myopic",2040,4681406.74775465,4224969.58984858
"stationary","myopic",2050,4646981.04363111,3984205.37228322
"stationary","myopic",2060,4614934.83260929,3758893.26450297
"stationary","myopic",2070,4585064.38339582,3547835.41708188
"stationary","myopic",2080,4557111.75379928,3349895.89488972
"stationary","myopic",2090,4530975.02755706,3164148.8494125
"stationary","myopic",2100,4501929.77886741,2986672.19552929
"stationary","rolling",2020,4758054.16353212,4758054.16353212
"stationary","rolling",2030,4718329.85613335,4482413.36332669
"stationary","rolling",2040,4681406.74775465,4224969.58984858
"stationary","rolling",2050,4646981.04363111,3984205.37228322
"stationary","rolling",2060,4614934.83260929,3758893.26450297
"stationary","rolling",2070,4585064.38339582,3547835.41708188
"stationary","rolling",2080,4557111.75379928,3349895.89488972
"stationary","rolling",2090,4530975.02755706,3164148.8494125
"stationary","rolling",2100,4506498.89144288,2989703.43816472
