alignment,scenario,year,discounted_b,cum_discounted_b
current,rcp45_wet,2020,5107426.888120006,5107426.888120006
current,rcp45_dry,2020,5107426.888120006,5107426.888120006
current,rcp85_wet,2020,5107426.888120006,5107426.888120006
current,rcp85_dry,2020,5107426.888120006,5107426.888120006
current,stationary,2020,5107426.888120006,5107426.888120006
midpoint,rcp45_wet,2020,4758054.163532125,4758054.163532125
midpoint,rcp45_dry,2020,4758054.163532125,4758054.163532125
midpoint,rcp85_wet,2020,4758054.163532125,4758054.163532125
midpoint,rcp85_dry,2020,4758054.163532125,4758054.163532125
midpoint,stationary,2020,4758054.163532125,4758054.163532125
current,rcp45_wet,2030,4446420.9684713315,9553847.856591336
current,rcp45_dry,2030,4238277.466216002,9345704.354336008
current,rcp85_wet,2030,4890851.058070665,9998277.94619067
current,rcp85_dry,2030,4007200.1961263334,9114627.08424634
current,stationary,2030,4852055.5437140055,9959482.431834012
midpoint,rcp45_wet,2030,4188289.875135091,8946344.038667217
midpoint,rcp45_dry,2030,3847691.4168990953,8605745.58043122
midpoint,rcp85_wet,2030,4915539.112661268,9673593.276193392
midpoint,rcp85_dry,2030,3469564.9749341803,8227619.138466305
midpoint,stationary,2030,4520151.4553555185,9278205.618887644
current,rcp45_wet,2040,3838747.0735672284,13392594.930158565
current,rcp45_dry,2040,3443274.4192821,12788978.77361811
current,rcp85_wet,2040,4683164.243805968,14681442.189996637
current,rcp85_dry,2040,3004227.606111739,12118854.690358078
current,stationary,2040,4609452.766528305,14568935.198362317
midpoint,rcp45_wet,2040,3628554.6118505783,12574898.650517795
midpoint,rcp45_dry,2040,3125225.779124046,11730971.359555265
midpoint,rcp85_wet,2040,4703267.373972603,14376860.650165994
midpoint,rcp85_dry,2040,2566438.9259981234,10794058.064464428
midpoint,stationary,2040,4294143.882587742,13572349.501475386
current,rcp45_wet,2050,3280724.5157323666,16673319.445890931
current,rcp45_dry,2050,2717175.983376055,15506154.756994165
current,rcp85_wet,2050,4484018.983322561,19165461.1733192
current,rcp85_dry,2050,2091534.2746082763,14210388.964966355
current,stationary,2050,4378980.12820189,18947915.326564208
midpoint,rcp45_wet,2050,3307807.9854680547,15882706.63598585
midpoint,rcp45_dry,2050,2645347.777108242,14376319.136663508
midpoint,rcp85_wet,2050,4320822.392515015,18697683.04268101
midpoint,rcp85_dry,2050,2087964.1696395047,12882022.234103933
midpoint,stationary,2050,4079436.688458355,17651786.18993374
current,rcp45_wet,2060,3157855.1639439953,19831174.609834928
current,rcp45_dry,2060,2472138.3106801813,17978293.067674346
current,rcp85_wet,2060,4011759.21612895,23177220.389448147
current,rcp85_dry,2060,1981531.001325328,16191919.966291683
current,stationary,2060,4160031.121791795,23107946.448356003
midpoint,rcp45_wet,2060,3193876.178692465,19076582.814678315
midpoint,rcp45_dry,2060,2376606.79634399,16752925.933007497
midpoint,rcp85_wet,2060,3794707.750354912,22492390.79303592
midpoint,rcp85_dry,2060,1976782.761716859,14858804.995820792
midpoint,stationary,2060,3875464.854035437,21527251.043969177
current,rcp45_wet,2070,3039070.9360451307,22870245.545880057
current,rcp45_dry,2070,2244811.4652954573,20223104.532969803
current,rcp85_wet,2070,3575515.3781964066,26752735.767644554
current,rcp85_dry,2070,1877299.219684156,18069219.18597584
current,stationary,2070,3952029.5657022046,27059976.014058206
midpoint,rcp45_wet,2070,3083068.032630758,22159650.84730907
midpoint,rcp45_dry,2070,2128126.5442133984,18881052.477220897
midpoint,rcp85_wet,2070,3310402.516429545,25802793.309465464
midpoint,rcp85_dry,2070,1871499.5841623805,16730304.579983173
midpoint,stationary,2070,3681691.611333665,25208942.65530284
current,rcp45_wet,2080,2924270.4930262994,25794516.03890636
current,rcp45_dry,2080,2034036.9586724977,22257141.4916423
current,rcp85_wet,2080,3172866.5260167904,29925602.293661345
current,rcp85_dry,2080,1778536.7887037848,19847755.974679623
current,stationary,2080,3754428.0874170945,30814404.101475302
midpoint,rcp45_wet,2080,2975356.0107285,25135006.858037572
midpoint,rcp45_dry,2080,1898552.800305002,20779605.277525898
midpoint,rcp85_wet,2080,2865041.036520824,28667834.345986288
midpoint,rcp85_dry,2080,1771802.7674590587,18502107.347442232
midpoint,stationary,2080,3497607.0307669817,28706549.686069824
current,rcp45_wet,2090,2813352.4169692337,28607868.45587559
current,rcp45_dry,2090,1838727.8740486049,24095869.365690906
current,rcp85_wet,2090,2801543.7706096424,32727146.064270988
current,rcp85_dry,2090,1684957.3527722373,21532713.32745186
current,stationary,2090,3566706.6830462394,34381110.78452154
midpoint,rcp45_wet,2090,2848647.8655634806,27983654.723601054
midpoint,rcp45_dry,2090,1745120.6373583311,22524725.91488423
midpoint,rcp85_wet,2090,2588864.3415033426,31256698.68748963
midpoint,rcp85_dry,2090,1680304.756275883,20182412.103718117
midpoint,stationary,2090,3322726.6792286322,32029276.365298457
current,rcp45_wet,2100,2706215.4722853005,31314083.92816089
current,rcp45_dry,2100,1657864.6054904172,25753733.971181322
current,rcp85_wet,2100,2459421.124428172,35186567.18869916
current,rcp85_dry,2100,1596289.5184620887,23129002.845913947
current,stationary,2100,3388371.3488939274,37769482.13341547
midpoint,rcp45_wet,2100,2706215.4722853005,30689870.195886355
midpoint,rcp45_dry,2100,1657864.6054904172,24182590.520374645
midpoint,rcp85_wet,2100,2459421.124428172,33716119.811917804
midpoint,rcp85_dry,2100,1596289.5184620887,21778701.622180205
midpoint,stationary,2100,3156590.3452672004,35185866.71056566
