scenario,year,current,midpoint,diff_mid_minus_cur,pct_change
rcp45_wet,2020,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
rcp45_wet,2030,4680443.124706665,4408726.184352728,-271716.94035393745,-5.805367849031744
rcp45_wet,2040,4253459.361293328,4020559.126704242,-232900.2345890859,-5.475548601885998
rcp45_wet,2050,3826475.5978800026,3858064.4239312494,31588.82605124684,0.8255331895687019
rcp45_wet,2060,3877017.719561999,3921242.0760337515,44224.35647175228,1.1406797613694803
rcp45_wet,2070,3927559.8412439977,3984419.728136245,56859.88689224748,1.4477153548407282
rcp45_wet,2080,3978101.962926004,4047597.3802387514,69495.41731274733,1.7469491219785511
rcp45_wet,2090,4028644.084608005,4079186.206290002,50542.12168199709,1.2545690465707877
rcp45_wet,2100,4079186.206289992,4079186.206289992,0,0
rcp45_dry,2020,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
rcp45_dry,2030,4461344.701280002,4050201.4914727323,-411143.2098072693,-9.215679068450111
rcp45_dry,2040,3815262.51444,3462854.04889091,-352408.46554908995,-9.236807800650542
rcp45_dry,2050,3169180.3276000065,3085403.443193751,-83776.88440625556,-2.6434874556254453
rcp45_dry,2060,3035137.3125500036,2917849.674381247,-117287.63816875685,-3.8643272475279336
rcp45_dry,2070,2901094.297500005,2750295.90556875,-150798.39193125488,-5.19798312178974
rcp45_dry,2080,2767051.2824499956,2582742.136756248,-184309.1456937478,-6.660850373924304
rcp45_dry,2090,2633008.2674000002,2498965.252349996,-134043.01505000424,-5.0908695088286535
rcp45_dry,2100,2498965.2523499997,2498965.2523499997,0,0
rcp85_wet,2020,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
rcp85_wet,2030,5148264.271653332,5174251.697538177,25987.425884844735,0.5047803398114806
rcp85_wet,2040,5189101.655186669,5211376.591659394,22274.936472725123,0.4292638293270017
rcp85_wet,2050,5229939.0387200015,5039594.567738756,-190344.47098124586,-3.6395160550060943
rcp85_wet,2060,4925387.885149992,4658905.625776245,-266482.2593737468,-5.410381183930485
rcp85_wet,2070,4620836.731579999,4278216.683813752,-342620.04776624776,-7.414675472619348
rcp85_wet,2080,4316285.578009999,3897527.741851253,-418757.8361587464,-9.701810239159673
rcp85_wet,2090,4011734.4244399965,3707183.2708700052,-304551.15356999123,-7.591508343987749
rcp85_wet,2100,3707183.2708700006,3707183.2708700006,0,0
rcp85_dry,2020,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
rcp85_dry,2030,4218105.469606667,3652173.657825453,-565931.8117812136,-13.416729758395208
rcp85_dry,2040,3328784.0510933395,2843699.6409951504,-485084.410098189,-14.572420519104057
rcp85_dry,2050,2439462.632579999,2435298.637865001,-4163.9947149981745,-0.1706931132859491
rcp85_dry,2060,2432800.2410359997,2426970.648434999,-5829.592601000797,-0.2396247954381279
rcp85_dry,2070,2426137.8494920037,2418642.6590049993,-7495.190487004351,-0.30893506272010596
rcp85_dry,2080,2419475.457948003,2410314.669575,-9160.788373002782,-0.3786270426058464
rcp85_dry,2090,2412813.0664039985,2406150.674859999,-6662.391543999314,-0.27612547514626945
rcp85_dry,2100,2406150.6748599987,2406150.6748599987,0,0
stationary,2020,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2030,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2040,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2050,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2060,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2070,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2080,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2090,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
stationary,2100,5107426.888120006,4758054.163532125,-349372.724587881,-6.840484107575383
