scenario,year,n,min,p25,median,mean,p75,max,sd
rcp45_wet,2020,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
rcp45_wet,2030,841,0.07228459650360285,1462.199647510498,3781.2475800957573,5242.242787577559,7446.444867841088,31773.468712642796,4991.404614600146
rcp45_wet,2040,841,0.07028105275474425,1373.2454388471388,3364.713122174526,4780.688616770799,6776.383134435831,31431.188336843683,4597.037916901367
rcp45_wet,2050,841,0.0703434195670974,1338.832421252346,3217.1161698479136,4587.472561154875,6477.91268708331,31202.037630304327,4451.344242750501
rcp45_wet,2060,841,0.0716917007219614,1359.109401846912,3269.180952472283,4662.594620729786,6551.278091485704,31585.8203424529,4535.656321987883
rcp45_wet,2070,841,0.0730505376209642,1364.5367585666254,3308.3930315452412,4737.716680304697,6633.091695715341,32171.630435963485,4625.947906746902
rcp45_wet,2080,841,0.07438357569264092,1378.4120030916401,3364.0408050943893,4812.838739879608,6611.72316129942,33110.59602902022,4724.461625030829
rcp45_wet,2090,841,0.07518053822581584,1390.5068131221892,3378.061349248435,4850.399769667063,6629.26873998068,33453.37140578044,4773.259782842104
rcp45_wet,2100,841,0.07536346967568365,1391.2309749058952,3363.115905912266,4850.399769667063,6640.084248945088,33539.07045165879,4774.765443280335
rcp45_dry,2020,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
rcp45_dry,2030,841,0.06940771104302727,1340.26796732286,3366.899762690605,4815.935186055562,6812.2733777948615,27492.650467194275,4617.31778420122
rcp45_dry,2040,841,0.06573199992256841,1188.3620943491446,2819.7482228149834,4117.543458847692,5775.217730853303,24515.8719902009,3999.7308391823813
rcp45_dry,2050,841,0.06336956755379568,1080.8540624961329,2527.2833591110107,3668.731799279132,5084.295908446083,22280.037609028823,3582.439211409537
rcp45_dry,2060,841,0.061646460577031326,1046.5990216793505,2419.32416557653,3469.5002073498813,4815.428325496421,21308.707700027597,3355.7570504596106
rcp45_dry,2070,841,0.059931360572009824,1011.4837190921297,2310.4778648980964,3270.2686154206303,4580.296671185145,20460.987786603975,3133.9938934834304
rcp45_dry,2080,841,0.05819465556039029,975.8508347982358,2188.386295290781,3071.0370234913794,4257.440357337251,19804.469542726794,2919.3813878344217
rcp45_dry,2090,841,0.05742614886051984,949.5014205215035,2143.634621812129,2971.421227526754,4163.770943830725,19385.58073586815,2812.875561894787
rcp45_dry,2100,841,0.057565879819080235,948.8145006892439,2147.255360372947,2971.4212275267537,4163.436466393951,19435.241672959062,2813.905599557383
rcp85_wet,2020,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
rcp85_wet,2030,841,0.07896391639796002,1647.3904945504146,4359.372202309648,6152.4990458242355,8730.627511198527,37526.24910812376,5971.62053017913
rcp85_wet,2040,841,0.08079762510347821,1645.8100366410383,4346.020729794146,6196.642796265629,8704.269069351396,40723.32293110064,6133.837145961889
rcp85_wet,2050,841,0.08043555999477056,1585.1938741054303,4135.8414949297485,5992.383552602557,8349.975534555384,41491.00553128826,5992.286563354354
rcp85_wet,2060,841,0.07715872890657852,1497.0078059399034,3874.674495991378,5539.721314835018,7695.576558868712,38612.91242408106,5500.837266361839
rcp85_wet,2070,841,0.07397714955632448,1428.8457766225367,3507.258788515121,5087.059077067479,7080.560402443652,35186.889933989434,5003.9635813406485
rcp85_wet,2080,841,0.07081987806529767,1346.0591998960244,3115.1333552531064,4634.39683929994,6547.309138178115,31819.03512820662,4516.402306951429
rcp85_wet,2090,841,0.0693272333217342,1309.3448751362687,3003.1094333148912,4408.065720416171,6247.588960972828,30201.911668517656,4276.195661435807
rcp85_wet,2100,841,0.06949526543414117,1308.6216957106333,3009.134447657789,4408.065720416171,6248.440085018868,30278.748876291826,4277.455073522504
rcp85_dry,2020,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
rcp85_dry,2030,841,0.06480473129055411,1250.809524240252,3109.449138830765,4342.65595460815,6152.686421845526,25147.95139120805,4105.397061534822
rcp85_dry,2040,841,0.05842831970053012,1012.819653128293,2383.786081147021,3381.331321040608,4754.053237335065,20728.41492254134,3203.0015759517987
rcp85_dry,2050,841,0.05502654903484846,902.152627824816,2048.570544417483,2895.717762027349,4026.1842581903948,18574.416960217295,2758.421688462318
rcp85_dry,2060,841,0.05429216324897747,887.3967857776402,2019.7137824232705,2885.815277568371,4007.095296075262,18527.484211201838,2750.5494194159464
rcp85_dry,2070,841,0.05362426598807477,885.2925330378694,2019.0007965085242,2875.9127931093935,4016.0358491357174,18242.78426418385,2739.6613044217975
rcp85_dry,2080,841,0.052976058868032964,883.2781714282313,2015.555993833891,2866.0103086504164,4002.3902048939094,18001.04586218371,2732.738273051485
rcp85_dry,2090,841,0.05271842786565489,875.0414457236797,1995.9159449187614,2861.059066420927,3985.5066239222115,17927.14770585776,2730.884090622449
rcp85_dry,2100,841,0.05284620433058218,874.2572395732993,1999.8055780363009,2861.0590664209276,3986.3310875763,17972.756473547426,2731.8437566752623
stationary,2020,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2030,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2040,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2050,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2060,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2070,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2080,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2090,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
stationary,2100,841,0.07377182204241015,1544.008355742912,4053.6443058554055,5657.614938801571,8062.233109851777,32065.822442086774,5372.524469487969
